"","V1","V2","V3","V4","V5","V6"
"229","MID","APXMIDP",20180109,1,42.6,535.7
"329","MID","APXMIDP",20180109,2,43.51,540.65
"429","MID","APXMIDP",20180109,3,44.42,758.2
"58","MID","APXMIDP",20180109,4,43.79,781.1
"68","MID","APXMIDP",20180109,5,43.2,684.2
"78","MID","APXMIDP",20180109,6,43.51,630.7
"88","MID","APXMIDP",20180109,7,43.94,354.45
"98","MID","APXMIDP",20180109,8,45.41,389.5
"108","MID","APXMIDP",20180109,9,43.96,315
"118","MID","APXMIDP",20180109,10,45.82,520.55
"128","MID","APXMIDP",20180109,11,47.14,480.45
"138","MID","APXMIDP",20180109,12,47.83,582.25
"148","MID","APXMIDP",20180109,13,50.7,517.6
"158","MID","APXMIDP",20180109,14,43.94,870
"168","MID","APXMIDP",20180109,15,48.63,1164.3
"178","MID","APXMIDP",20180109,16,49.49,763.65
"188","MID","APXMIDP",20180109,17,48.07,753.25
"198","MID","APXMIDP",20180109,18,48,799.7
"208","MID","APXMIDP",20180109,19,55.06,975.8
"2112","MID","APXMIDP",20180109,20,55.3,1027
"2210","MID","APXMIDP",20180109,21,55.89,1092.4
"238","MID","APXMIDP",20180109,22,55.28,1258.7
"248","MID","APXMIDP",20180109,23,56.08,1156.75
"258","MID","APXMIDP",20180109,24,55.74,1104.15
"268","MID","APXMIDP",20180109,25,56.37,1160.9
"278","MID","APXMIDP",20180109,26,56.91,1201.65
"288","MID","APXMIDP",20180109,27,57.37,1516.85
"298","MID","APXMIDP",20180109,28,58.72,1678.1
"308","MID","APXMIDP",20180109,29,59.78,1645.95
"3112","MID","APXMIDP",20180109,30,58.95,1738.35
"3210","MID","APXMIDP",20180109,31,61.23,1653.5
"338","MID","APXMIDP",20180109,32,65.47,1378
"348","MID","APXMIDP",20180109,33,66.59,1590.2
"358","MID","APXMIDP",20180109,34,69,1624.7
"368","MID","APXMIDP",20180109,35,63.67,1630.55
"378","MID","APXMIDP",20180109,36,61.93,1876
"388","MID","APXMIDP",20180109,37,62.85,1845.4
"398","MID","APXMIDP",20180109,38,62.59,1991.75
"408","MID","APXMIDP",20180109,39,57.07,859.5
"4112","MID","APXMIDP",20180109,40,55.5,985.9
"4210","MID","APXMIDP",20180109,41,53.55,1041.4
"438","MID","APXMIDP",20180109,42,51.47,1604.45
"448","MID","APXMIDP",20180109,43,53.11,723.8
"458","MID","APXMIDP",20180109,44,47.77,612.25
"468","MID","APXMIDP",20180109,45,45.19,1153.45
"478","MID","APXMIDP",20180109,46,44.74,1494.75
"488","MID","APXMIDP",20180109,47,43.96,902.3
"497","MID","APXMIDP",20180109,48,44.79,664.65
"230","MID","APXMIDP",20180110,1,44.61,576.5
